type,link
playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
playlist,https://youtube.com/playlist?list=PLRFLF1OxMm_VJyPl_T-ZuP-lW8YffBhHm&si=yCqCHnSbJVDyweMq
playlist,https://youtube.com/playlist?list=PLRFLF1OxMm_W-TiyLZoRYCHOnXG1CqTAL&si=TIevg-YEhdmyGWDP
playlist,https://youtube.com/playlist?list=PLRFLF1OxMm_Xm4uVf7JD0haWVVYcm51De&si=9mvAAee7_l0efflG
playlist,https://youtube.com/playlist?list=PLGW3n6VnSnUR1dfPEHHusDnoRz1uyeLFf&si=EdbMZf8VrpcNJz9D
playlist,https://youtube.com/playlist?list=PLTOd0Q27WIleoB_dp__HOTgH7HFrM-Za-&si=nAViMjenHRJLv24l
playlist,https://youtube.com/playlist?list=PL4502J90Nv8CBjnbumu8Ktvxfx3GiDOze&si=VbdnjRR_seSjo0vl
video,https://youtu.be/4-t2YAfQ510?si=rNLtiLOPZQSTzKOn
channel,https://www.youtube.com/@quantinsti/
channel,https://www.youtube.com/@AlgoAdvantage
channel,https://www.youtube.com/@Quantopianvideos
channel,https://www.youtube.com/@TopTradersUnplugged
channel,https://www.youtube.com/@flirtingwithmodels
channel,https://www.youtube.com/@themicrostructureexchange3880
channel,https://www.youtube.com/@PBoyle
channel,youtube.com/@CQFInstitute
channel,https://www.youtube.com/@quantpie
channel,https://www.youtube.com/@resolveassetmanagement
channel,https://www.youtube.com/@AlphaArchitect
channel,https://www.youtube.com/@GResearchquantfinance
playlist,https://youtube.com/playlist?list=PLe4PRejZgr0MuA6M0zkZyy-99-qc87wKV&si=rqfTvtb71YBe6YXP
playlist,https://youtube.com/playlist?list=PL4pUs4P_j1Wa2_P1lw44kFWWjKDTGUY7S&si=jRFtgqoJ7YJcenoB
playlist,https://youtube.com/playlist?list=PLUl4u3cNGP63ctJIEC1UnZ0btsphnnoHR&si=2o5Bb4lvnokQsamf
playlist,https://www.youtube.com/playlist?list=PLCiAikFFaMJouorRXDSfS2UoKV4BfKyQm
playlist,https://www.youtube.com/playlist?list=PLSiLSqyUGDCtvJzkXsLoMuESKb1m90nQQ
channel,https://www.youtube.com/@RobotWealth
