video_id,title,channel_name,channel_url,video_url,upload_date,duration_seconds,view_count,description_snippet,source_type,source_url
EZMBcerzdHk,"NSE IPO, Lessons from cricket & stock market & more: #ThePrintOTC with NSE MD Ashishkumar Chauhan",ThePrint,https://www.youtube.com/channel/UCuyRsHZILrU7ZDIAbGASHdA,https://www.youtube.com/watch?v=EZMBcerzdHk,,5710,6500,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
Vydu6ShQIwg,Is Another 1929 Crash Coming? with CNBC's Andrew Ross Sorkin,Hasan Minhaj,https://www.youtube.com/channel/UCarEovlrD9QY-fy-Z6apIDQ,https://www.youtube.com/watch?v=Vydu6ShQIwg,,3614,121000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
IAz5jQ2MipE,Why Share Prices move UP and DOWN | How Stock Market works?,Labour Law Advisor,https://www.youtube.com/channel/UCVOTBwF0vnSxMRIbfSE_K_g,https://www.youtube.com/watch?v=IAz5jQ2MipE,,372,264000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
8TfUd3JB57o,"How Global Markets Affect Indian Stock Market | What is SGX NIFTY, Dow Jones, NASDAQ etc | Us Market",Neeraj joshi,https://www.youtube.com/channel/UCfYHvYyFICHwHVO9lHwmiig,https://www.youtube.com/watch?v=8TfUd3JB57o,,1395,271000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
8Qqi95r6pdo,Four Important Factors Affecting Stock Market | CA Niket Thakker,BreakOut Economics by Unacademy,https://www.youtube.com/channel/UCTc1Osdwr8nPn4sHHxRocjQ,https://www.youtube.com/watch?v=8Qqi95r6pdo,,460,16000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
ODI9CV6kI8w,Global Market Analysis to Predict Nifty | Make Money in Stock Market #Nasdaq #SGXNifty,Pushkar Raj Thakur: Stock Market Educator 📈,https://www.youtube.com/channel/UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=ODI9CV6kI8w,,780,829000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
EF_0qQeadJU,Beaten Down Safe Stocks to Buy Now in Market Crash? Strong Fundamentals! Dipan Mehta,PaisaSmart,https://www.youtube.com/channel/UC6miSOTA9k33pwTE5Pd42zQ,https://www.youtube.com/watch?v=EF_0qQeadJU,,1037,100000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
jS6SYirVCdc,Get READY for a War Time Economy | Save Cash | Akshat Shrivastava,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=jS6SYirVCdc,,1274,254000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
PwZKnB2MNGA,Another CRASH Coming? (Why the NEXT dip is unlike any other) | Akshat Shrivastava,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=PwZKnB2MNGA,,1290,202000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
r7gUaz-eXRc,AI will destroy Indian IT Stocks? Wait or BUY?,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=r7gUaz-eXRc,,1267,226000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
9ffATQ3W1xI,I'm investing 40% of my networth into...,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=9ffATQ3W1xI,,1522,1,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
TC9ujhrSycY,"Explained: How to Invest in a world driven by AI, Wars & Complex Geopolitics? | Akshat Shrivastava",Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=TC9ujhrSycY,,2105,107000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
lYuzeLumcA4,"When to sell your Stocks/Gold/other assets? (And, rebuy at lower prices?) | Akshat Shrivastava",Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=lYuzeLumcA4,,2220,107000,,playlist,https://youtube.com/playlist?list=PLCyaiaxxv0BpnCz0pyd6qLBBhUcJSq93b&si=D47O_2e9ZNGm2ynG
87Qczya5HTU,[Private video],,,https://www.youtube.com/watch?v=87Qczya5HTU,,,,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
FEAHnilxy6w,[Private video],,,https://www.youtube.com/watch?v=FEAHnilxy6w,,,,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
hLqGReZSr5c,"Buy Low, Sell High and make money in STOCK MARKET | Learn how to invest #StockMarketTips",Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=hLqGReZSr5c,,1531,537000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
_DYuHz9VBLo,Become a MILLIONAIRE by 30! - Investment Strategy Explained | #StockMarketTips,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=_DYuHz9VBLo,,1107,714000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
HSUsSBk7Wqg,INR 1 Cr. in Stock Market | Learn Fundamental Analysis | #FundamentalAnalysis #StockMarket,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=HSUsSBk7Wqg,,889,610000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
Q1ZJ3NaVYNA,GET RICH in Stock Market! | Learn fundamental analysis | #BullRun #StockMarketTips,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=Q1ZJ3NaVYNA,,1320,78000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
4TbdqWbF_PE,GET RICH by analyzing stocks! |  Gain 123% return in 30 days | #Stockanalysis,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=4TbdqWbF_PE,,1387,239000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
cGNTVozi6Ns,Why am I investing in the Electric Vehicle (EV) Sector in India? | Fundamental analysis #EVStocks,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=cGNTVozi6Ns,,1085,432000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
U5CYdmsR9Sw,Wait or Invest now? | 3 Lessons | Stock Market Investing,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=U5CYdmsR9Sw,,1199,123000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
9vyKAKUX0WI,How to invest your first INR 1 lakh? | Stock Market for Beginners,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=9vyKAKUX0WI,,1132,617000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
HixoHQPLFSs,"How to invest INR 10,000 per month in a mutual fund? #MutualFunds #InvestmentTips",Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=HixoHQPLFSs,,1585,381000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
WNCOSPaOst8,Smallcase investing explained! (How NOT to lose money?) #SmallCase #StockMarketforbeginners,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=WNCOSPaOst8,,1203,590000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
Pylw3tqzv1U,FUNDAMENTAL ANALYSIS made easy | Stock Market for beginners,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=Pylw3tqzv1U,,1091,364000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
ie-n7tIX0EU,ITC - Should you Invest? | Fundamental Analysis,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=ie-n7tIX0EU,,1372,468000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
0Ef0Iy9Vf_A,How am I investing Rs. 50 lakhs? Strategy Explained!,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=0Ef0Iy9Vf_A,,1156,445000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
1ktVglH2xk4,"Design a diversified portfolio by using STOCKS, DEBTS, Cryptos (#Bitcoins!)",Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=1ktVglH2xk4,,910,130000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
DvjCPu0odG4,How do I make money consistently?,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=DvjCPu0odG4,,760,111000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
-xOZP3Ut8J0,Fundamental Analysis of 3 Blue-Chip Stocks! #FundamentalAnalysis,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=-xOZP3Ut8J0,,993,352000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
g6UHikNtmy4,Fundamental Analysis of 3 Small Cap and Penny stocks | How to invest in Penny Stocks,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=g6UHikNtmy4,,1303,1900000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
b46D9QnK4jA,Stock Market Investing | Dividend vs Growth stocks,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=b46D9QnK4jA,,1152,163000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
djM5ungZ6mo,IPO Investing | Most Profitable E-Commerce |#NykaaCaseStudy,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=djM5ungZ6mo,,892,166000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
q-cuNO4UanY,4 Great Stocks I am Buying | Bloodbath in the Market,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=q-cuNO4UanY,,739,357000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
98YROwxUI4Y,Fundamental Analysis: How to pick the right banking stocks right now!,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=98YROwxUI4Y,,1179,123000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
o-OhcV9H6pw,Banking stocks I'm buying | 50L investment,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=o-OhcV9H6pw,,1211,294000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
iWBjHPFrwrM,Fundamentals of Stock Analysis | A step-by-step process to analyse stocks #StockMarket,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=iWBjHPFrwrM,,1324,568000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
NPLa-JDGjcg,How our parents lose money: LESSONS LEARNT,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=NPLa-JDGjcg,,1524,138000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
7L-xmfgKomA,Investing in an UNDERVALUED sector!,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=7L-xmfgKomA,,794,209000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
zhzv4eQ97mU,4 stocks in Consumer Durable Goods industry,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=zhzv4eQ97mU,,1256,155000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
UHkN7ZrvcNQ,Live investing - #FundamentalAnalysis of Stocks! / Understand Sector rotation,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=UHkN7ZrvcNQ,,1307,124000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
ctYaB_e4Lb0,5 GREAT stocks for long term! #Smallcase,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=ctYaB_e4Lb0,,942,592000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
gWs8iAgB6Ek,Why did I invest INR 85L in these 4 stocks?,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=gWs8iAgB6Ek,,1300,359000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
IsuZEoMGCsA,Should you invest in the market NOW? |#fundamentalanalysis,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=IsuZEoMGCsA,,1396,152000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
qgFaOB-pNMU,Investing in FUTURE tech monopolies!  # No-FAANG stocks,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=qgFaOB-pNMU,,1170,209000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
iptbESNg_mc,How many stocks should you buy?,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=iptbESNg_mc,,1483,541000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
4FXf_bV95yU,Fundamental Analysis of great stocks (MOAT method),Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=4FXf_bV95yU,,1385,198000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
irtdoP3YqCk,How I am preparing for the NEXT BIG CRASH!,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=irtdoP3YqCk,,1328,282000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
UP-n1nt_jo8,Start buying this FUNDAMENTALLY STRONG stock!,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=UP-n1nt_jo8,,1227,492000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
QKng1gSDq80,"How the BULL RUN might end? | NIFTY Levels? 10,000?",Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=QKng1gSDq80,,1415,146000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
Ep08ccGf0mM,6 reasons why I sell stocks,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=Ep08ccGf0mM,,1290,150000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
CW-iEVN8zyk,Where to invest? | Best Mutual Funds (2021 & 2022),Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=CW-iEVN8zyk,,1333,574000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
-fktVCXDDac,Monopoly Stock: Buy or Sell? (SWING TRADE),Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=-fktVCXDDac,,1336,170000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
upet0P9p3xU,My stocks and crypto picks for October | My monthly investments (SIP) | #Stocks and #Cryptos,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=upet0P9p3xU,,1166,214000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
yPtUDNUO7BQ,BEST TIME to invest in this sector? Massive growth potential in Airlines?,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=yPtUDNUO7BQ,,815,88000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
p2g8xXjsXyg,A PENNY Stock worth GOLD!,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=p2g8xXjsXyg,,1319,512000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
0QtG_bRhGM0,"0 Profits, Billions in Valuations | IPO Analysis",Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=0QtG_bRhGM0,,1276,109000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
gTWWJ00Btg4,"Low risk, high return SMALL CAP",Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=gTWWJ00Btg4,,1003,335000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
AeJO5BV-mWo,NO MORE BANKING stocks!,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=AeJO5BV-mWo,,1016,169000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
hjglquW-RRA,BUYING more stocks | Investing,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=hjglquW-RRA,,1180,218000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
Gcox6BZXGxU,INVEST MORE? | 25% gains since my last video on ITC,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=Gcox6BZXGxU,,1229,153000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
1SyX64uQTgM,One stock that I REGRET not buying.,Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=1SyX64uQTgM,,1195,155000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
xhFfRLTb45w,"Buy, Hold or Sell?",Akshat Shrivastava,https://www.youtube.com/channel/UCqW8jxh4tH1Z1sWPbkGWL4g,https://www.youtube.com/watch?v=xhFfRLTb45w,,931,238000,,playlist,https://youtube.com/playlist?list=PL2fxME0rbf-3UJJT3uux7BaNEgBV0MRvp&si=Aa_rJzQYDhQADluk
